nitrogen,phosphorus,potassium,ph,rainfall,temperature,humidity,soil_type,season,region,irrigation,crop
20.0,74.0,16.0,4.76,159.89,36.04,43.61,loamy,long_rains,sub_humid,0,pigeon_peas
133.0,57.0,19.0,7.95,84.13,23.54,75.98,clay,long_rains,sub_humid,0,cotton
32.0,76.0,15.0,7.6,43.36,28.05,63.5,clay,transitional,semi_arid,0,lentils
32.21,68.22,52.0,7.4,537.05,22.24,57.79,loamy,short_rains,sub_humid,0,beans
187.54,60.42,151.99,5.8,1632.52,28.31,75.75,loamy,long_rains,sub_humid,0,sugarcane
71.85,43.46,38.09,6.1,473.37,29.86,45.27,sandy,dry,arid,0,sorghum
70.93,40.98,41.14,5.8,454.08,25.36,53.81,loamy,dry,arid,1,sorghum
70.0,54.0,46.0,6.92,122.76,39.73,91.12,sandy,transitional,coastal,0,papaya
69.62,42.79,36.96,5.5,436.26,29.16,45.77,loamy,dry,arid,0,sorghum
25.47,65.8,47.1,6.8,391.17,18.65,46.89,clay,dry,semi_arid,1,lentils
40.0,55.0,18.0,7.12,47.95,30.38,40.59,sandy,short_rains,semi_arid,0,moth_beans
3.0,23.0,30.0,6.08,215.2,29.7,95.66,sandy,long_rains,coastal,0,coconut
51.38,47.74,85.98,6.1,896.96,28.56,69.48,sandy,long_rains,coastal,0,cassava
50.0,59.0,47.0,6.75,209.87,40.77,92.09,sandy,transitional,sub_humid,0,papaya
165.56,68.71,180.33,6.1,1454.82,26.51,79.02,loamy,long_rains,coastal,1,banana
129.21,54.55,100.44,5.6,1555.75,20.27,75.2,silty,long_rains,highland,0,coffee
96.52,65.3,102.03,6.6,435.35,23.01,55.63,sandy,dry,semi_arid,1,onion
152.14,50.36,86.82,4.9,1947.97,16.12,79.74,silty,long_rains,highland,0,tea
29.27,51.49,46.25,5.7,569.37,20.45,52.32,loamy,transitional,highland,1,chickpea
72.94,54.55,75.91,6.2,574.35,24.34,48.55,sandy,short_rains,sub_humid,1,sunflower
115.0,31.0,30.0,6.84,122.41,24.23,67.38,loamy,long_rains,highland,1,coffee
66.61,48.48,41.98,5.7,492.34,29.52,43.36,loamy,short_rains,arid,0,sorghum
25.82,63.85,62.72,5.8,731.62,27.91,63.07,loamy,long_rains,sub_humid,1,groundnut
103.37,89.41,126.7,6.7,623.72,24.02,62.98,loamy,dry,highland,1,tomato
29.96,61.48,52.12,7.2,548.08,22.6,61.04,silty,long_rains,highland,0,beans
31.24,62.03,48.29,7.0,501.12,19.79,63.38,loamy,short_rains,sub_humid,1,beans
70.92,55.02,97.84,6.0,570.38,27.28,67.32,sandy,short_rains,highland,0,sweetpotato
104.66,60.9,102.68,7.3,446.92,19.86,51.98,loamy,dry,semi_arid,0,onion
74.59,48.36,72.22,7.0,756.71,30.24,49.09,sandy,transitional,semi_arid,1,mango
99.0,29.0,55.0,6.66,26.48,29.19,91.46,loamy,dry,sub_humid,1,muskmelon
88.37,44.66,61.96,5.8,939.31,27.91,51.42,sandy,transitional,coastal,0,mango
25.89,64.76,66.94,7.0,717.17,29.38,54.31,loamy,long_rains,sub_humid,0,groundnut
96.49,62.54,49.48,6.5,714.87,22.51,70.81,loamy,long_rains,highland,0,maize
30.25,64.61,49.29,7.1,572.79,22.12,63.37,silty,long_rains,sub_humid,0,beans
35.27,70.25,56.2,6.1,529.15,21.04,62.11,silty,short_rains,highland,0,beans
72.36,37.27,43.54,5.8,456.65,30.24,44.51,loamy,dry,semi_arid,0,sorghum
114.77,82.9,131.07,5.6,701.71,15.52,70.77,loamy,transitional,highland,0,potato
30.91,64.99,52.84,7.3,514.9,21.93,58.19,loamy,long_rains,highland,0,beans
62.06,57.7,115.29,6.4,575.64,23.51,66.3,loamy,short_rains,sub_humid,0,sweetpotato
11.0,40.0,23.0,5.8,50.2,29.61,63.05,sandy,dry,arid,0,moth_beans
71.28,45.37,36.33,7.3,605.56,16.4,55.07,clay,dry,highland,0,wheat
124.98,64.37,108.99,6.1,1759.45,20.39,75.17,loamy,long_rains,highland,1,coffee
70.97,41.45,40.66,7.0,575.95,18.78,52.44,loamy,dry,highland,0,wheat
84.0,57.0,25.0,6.49,64.41,22.54,67.99,silty,long_rains,highland,1,maize
